     0.745    -0.464     0.478
     0.068    -0.772     0.632
     0.018    -0.767     0.641
     0.192    -0.981     0.028
     0.725    -0.490     0.483
     0.690    -0.593     0.414
     0.827    -0.555     0.089
     0.680    -0.372     0.632
     0.180    -0.689     0.702
     0.308    -0.793     0.526
     0.589    -0.613     0.527
     0.301    -0.822     0.484
     0.178    -0.935     0.307
     0.729    -0.656     0.196
     0.160    -0.532     0.831
     0.040    -0.952     0.302
     0.432    -0.654     0.621
     0.711    -0.695     0.105
     0.038    -0.629     0.776
     0.440    -0.790     0.426
     0.377    -0.795     0.475
     0.961    -0.251    -0.116
     0.521    -0.607     0.600
     0.762    -0.439     0.476
     0.926    -0.053     0.375
     0.515    -0.766     0.386
     0.226    -0.833     0.506
     0.577    -0.793     0.194
     0.789    -0.488     0.372
    -0.123    -0.899     0.421
     0.641    -0.548     0.538
     0.226    -0.696     0.681
     0.512    -0.805     0.301
     0.618    -0.759     0.203
     0.234    -0.718     0.655
     0.524    -0.599     0.605
     0.261    -0.952     0.157
     0.767    -0.542     0.343
     0.761    -0.647     0.040
     0.679    -0.402     0.615
     0.503    -0.384     0.774
     0.470    -0.883    -0.007
     0.453    -0.881    -0.138
     0.440    -0.741     0.507
     0.752    -0.656    -0.071
     0.490    -0.870     0.051
     0.352    -0.929     0.119
     0.765    -0.493     0.414
     0.659    -0.606     0.445
     0.573    -0.310     0.759
     0.636    -0.695     0.336
     0.670    -0.621     0.407
     0.528    -0.672     0.519
     0.793    -0.394     0.464
     0.340    -0.918     0.204
     0.342    -0.899     0.274
     0.344    -0.937     0.061
     0.507    -0.594     0.624
     0.378    -0.815     0.439
     0.710    -0.678    -0.187
     0.472    -0.626     0.621
     0.988     0.137     0.071
     0.218    -0.609     0.762
     0.802    -0.460     0.381
     0.337    -0.817     0.469
     0.242    -0.786     0.569
     0.491    -0.620     0.612
     0.408    -0.823     0.396
     0.628    -0.614     0.479
     0.584    -0.112     0.804
    -0.082    -0.840     0.537
     0.427    -0.353     0.832
     0.656    -0.734     0.175
     0.499    -0.644     0.580
     0.567    -0.776     0.276
     0.189    -0.767     0.614
     0.350    -0.554     0.756
     0.447    -0.821     0.355
     0.754    -0.087     0.651
     0.219    -0.972    -0.091
    -0.184    -0.897     0.402
     0.431    -0.884     0.178
     0.465    -0.297     0.834
     0.665    -0.699     0.261
     0.341    -0.873     0.350
